59,蝴蝶杰,音乐棒。
58,落尘の,挖坟
57,抖M沙耶,难以形容，佳作
56,lees2cents,原来主角演员已经去世了QAQ，演技真的好棒啊
55,之前920,主角默默地独自帮助良知和道义
54,傲娇毒舌受,声音太小了
53,忒头,很爱的一部电影……
52,啊哦啊哦唉,一直觉得脸熟，想不起来是谁，虽然这是德语片。。。。但是真的感觉好像
51,啊哦啊哦唉,为什么没有人说男主是冰火之歌的Stanis呢！！！！！！！！！！
50,星空摇摆,为正义牺牲自己
49,latte控1994,结尾泪目(´･_･`)
48,布丁小羊肉串,有能力就反抗，没能力就世俗的去做普通人。
47,团长的背后灵阿虚,(´･_･`)这电影简直不能更赞，怎么评论这么少
46,弱风大巫师,美国2015
45,靶笨庞124,主角你真的是个好人(′；ω；`)http://pan.baidu.com/s/1jG7qMZO
44,澤村スペンサー英梨梨,最后哭了。太好看了 

43,sniper-ricky,好片啊，剧情真心好
42,你羞愧吗,电影频道看的。真心的好片

41,老板，来一串触手,献给好人的奏鸣曲！！！看完每次都QAQ
38,挪椅子我爱你,断断续续得看，终于看完了。结尾好棒。
37,MaxQ7,这片子居然被推上来了，硬盘里唯一珍藏了多年的电影，绝对的好片子，历史以及人性
36,宇宙超级无敌大果冻,说真的最后我还是泪奔了
35,人间失格11,泪目。。。。。。。。。。
34,老赖君,窃听风云能跟这个比？老大哥一直在呵呵
33,xianzizxx,开头有点慢，看了3，4次，庆幸自己看完了，很棒
32,yoki梓凡,评论区居然有如此亮点 哈哈哈哈哈
31,火hitachi,2014年12月12日3:17:05 留名
30,TGA⑨⑨⑨,主角你真的是个好人(´；ω；`)
29,我从何来,窃听风云国外版(〜￣△￣)〜
28,楹夜风咏,致最亲爱的乌尔里希·穆埃。愿你在天堂安好。
27,楹夜风咏,大时代里的选择。人的本性，善与恶，都是结果。除却苍凉，无谓对错。
26,娃娃哇啊哇,赞一个（￣▽￣）
25,曉蝸,╮(￣▽￣)╭好电影
24,回风落雁剑,确实好片…… 
23,回风落雁剑,总会有办法，也总会有风险…… 人生就是这样，所以这就是为什么我们每个人活着的人都应当学会尊重。
22,maugham,主角原来是个局限于理论的老师，真正进入实际后就不同了。开头主角讲课的理论听起来就很荒谬，根本抵不住现实情况的考验。片中有些理想化，总的来说就是人性永垂不朽，暴戾的统治不长久。个人认为转变点是听曲子听哭那段。
21,魔法学徒大叔,以前居然看过，当时没记住名字
20,kiyomizu,即使外在的势力如何压迫，也无法完全扼杀人性。
即使在最黑暗的地方，也有光明的种子。
19,LOVEDBOY,这是给我的，让人好感动。
18,vermonth13,超级赞！情绪推进很慢但是很合理 代入感特别强～男主大好人！最后真是感动死了(T ^ T)
17,上午下午,回复 @萌￡萌 :不  层主说的是你不知道的现实罢了  好像叫西朝鲜吧~    ：）
16,本王累了,之前看过，献给好人，太感动了！！心中十佳～
15,三鲜锅巴,居然有这个了
14,萌神,这片子很好看啊，后面不知不觉泪目了
13,东田十,手机上看完心都酸了，开电脑丢个硬币转换下情绪
12,袋鼠鼠,在德语课上看过的，真的是个好人啊
11,Gico,谁能分析下 主角转变的原因么
10,暱風,好片啊   謝up主搬運了
9,Minions丶33,相当好看呐
8,呆憨讷321,火前留名
7,奥术魔法师抹布,(｀・ω・´)挺感动的
6,萌￡萌,你只是想太多了 睡一觉就好了
5,小遥俺の嫁,IMDB TOP250 终于有了这片我等好久了
4,wangyie,说实话，看这部电影看到中间位置的时候我很害怕。
现在我只是个学生，但终有一天会面对那种社会。如果我遇到了和作家相同的境遇，我该怎么做。。。
任何人在变得有权有势之前都是默默无名之辈，我也不会例外。
如果在我在为生存挣扎之时，有位高权重者如此践踏我的尊严。。。
我不觉得我有勇气像起点YY小说里的主角一样，操着刀子弄死XX全家这样。
这个世界，做事需要的顾虑真是太多了。。。
法律么。
这种情况下，走法律途径。。。也许是我内心太阴暗，我并不相信我能依靠法律扳倒某些践踏尊严的强权。
越想越害怕，也许真的是我想的太多吧。
但我只是想自由地追求自己的幸福而已。
3,猫君参上,很赞的电影
2,糖糖这只喵,超级赞
1,酷炫叼屌炸天,占位置~
