75,浇浇花降降火,好看好看好看
73,晓月灰烬,很不错的电影
72,贫神,回复 @beween :嗯大概白痴看所有正常人都是白痴吧，我理解你，别太伤心，多出去走走。
71,beween,回复 @贫神 :我是不太理解你为何要自己打自己的脸，果然是智硬
70,贫神,回复 @beween :词穷到只会拾人牙慧了？小可怜。
69,beween,回复 @贫神 :你的行为基本上可以用你自己的言论总结，没素质，玻璃心，嘴贱，对，还有立牌坊
68,贫神,回复 @beween :科科，反正你就是觉得你自己很无辜很正义很道德咯，那我还能说什么呢。请问我怎么喷你了呢？我是骂你了还是打你了？小公主？
67,beween,回复 @贫神 :你在没搞懂对方的意思情况下就选择直接喷？就算你不懂第一条的意思，第二条没有任何争锋相对找茬的你还是开嘲讽了啊。你自己说话能别一直打自己脸么
66,贫神,回复 @beween :哦，复制个标题就是告诉别人了？不好意思，这种行为除了让人觉得你莫名其妙之外并不能看出什么。你如果好好跟我说我自然不会怎样，上一条别人的话我也回复了，口气很正常，你上来就“高冷”得甩个标题，给人的感觉就是针锋相对故意来找茬，是人都不会觉得舒服，你不给我舒服我何必给你脸面？
还是那句话，你什么态度，我就什么态度，你觉得“XX是告诉你除了巴拉拉巴拉拉“那是你觉得，并不能代表给别人的感觉是什么。
65,beween,回复 @贫神 :回复“【剧情 / 喜剧 / 爱情 / 家庭】”是告诉你，除了喜剧，还有剧情，爱情，家庭等标签。轻喜剧本来就是喜剧范畴，这个跟第一条回复根本没有关系。
说白了就是你自己理解能力有问题还没素质，到现在还死鸭子嘴硬。自己好好看看前面的回复，第一条回复你直接喷，第二条还是好好给你解释，你又嘲讽。给谁也忍不了呀
64,贫神,回复 @beween :呵呵，自己就不是暗讽，别人回说就是了。一开始就甩个“【剧情 / 喜剧 / 爱情 / 家庭】”什么话都不说，你这叫素质好？好好说句“其实这算是轻喜剧”不会？你什么态度，我就什么态度。
63,beween,回复 @贫神 :我发这条的时候你已经“没素质”的“暗讽”了两条了，这两天都被狗吃了是么？
62,贫神,回复 @beween :误解你了，原来无知的人是你。“我没必要给每个人科普呀，毕竟无知的人只是少数。”这句话是狗说的？
61,beween,回复 @贫神 :我给你发了一个【剧情 / 喜剧 / 爱情 / 家庭】  就叫没素质？就叫暗讽你无知？来给讲讲这八个字外带几个标点符号 是怎么没素质，怎么暗讽了
60,贫神,回复 @beween :你确定不是你先没素质？是谁先暗讽他人无知的，真是科科，骂了人还要立牌坊。
