95,ovamy,回复 @GinpuLawrence :小说没看过,因此就没有什么可以做对比的,不过就是单纯从电影中对各个人物形象的诠释,我觉着男主人公真的很自信很阳光!不过,小说里是什么样子,我不清楚啦
94,李姓思维,二周目，终于明白开头。
二周目反而哭的更厉害了。总忍不住带入自己设想自己。
然后发现现在我所认为的痛苦，甚至不到一级。那么还有什么好抱怨的呢?
只是愿天下再无苦痛再无伤悲。愿那些不幸的人们都好好的。当然也愿我的母亲okay:)
93,GinpuLawrence,我倒觉得跟我读完原著脑补出来的形象有点出入。。颜值方面。而且感觉电影的男主没有小说里那么“钟爱隐喻”、表现不出那种很自信、很完美的魅力（简直是有点引诱的感觉），电影的话更加阳光、更温暖些啦。。当然这只是我的主观感受，总之电影跟小说都很棒，但是我更钟爱小说~
92,GinpuLawrence,我觉得刚刚好，还是蛮符合原著的，就是男主有点。。不够完美，但还是可以接受的呀
91,之炎hazel,看了不下5匾额 而且一定要看有英文字母的 每看一遍感觉都不一样 好看！
90,Lee不理,妈蛋最后还放一记大招直接哭成***了QAQ
89,浮曜Tohsaka,回复 @fBlume:我也这么觉得 get不到点 不过歌好听！(´･_･`)
88,孤独下酒,路过
87,头碰墙会疼,boom clap
86,我叫birdy,I don't think so
84,fBlume,我不太喜欢这个电影：（
83,马丁路德金思霖,这种烟火般短暂燃烧的感情必然是灿烂而炙热的。当明白彼此都时日无多的时候，也会更加珍惜彼此，我觉得这个角度上说，虽然他们生命短暂，可拥有最美好的感情…那么自然却那么强烈…也算是一种弥补吧
82,冷冷的凉凉,这电影bgm真的让人入迷，但，我是为了我家沃尔夫来的
81,FUCKSUP,哭了，好久没看电影看哭了，当时这部电影票房打败阿汤哥我还不以为然觉得不过是北美青少年粉多而已
80,FUCKSUP,我也觉得女主长得不好看，但是美国青少年都觉得女主又美又性感
79,ovamy,超级好看，太甜太虐了，男主好帅好帅哒o&gt;_&lt;o
78,牛黄白,boom～
77,MurphyMA,受不了了，太感人了。
76,MurphyMA,感人。。。。。。。
75,罗里个罗,这个电影买了蓝光看的，一个人在***上哭到瞎
74,神医请留步,虽说快把我虐哭了，但作为平底鞋控的我还是一本满足
73,·きみにとどけ,开始很美好结局很虐的那种最容易泪目辣 ︶︿︶
72,春衫良夜,如同两个沙漏计时器，却迸发了光芒万丈的能量，因为这便是爱情。
71,黄呱欣,虐死我了，有个这样的男人爱自己今生无憾
70,MXJ小酒窝,我觉得需要he才能缓解下我现在的心情
69,米一颗,霉霉看哭的那部电影？
68,则宁宁,来给阿婆主表白啦～你传的我都很喜欢，有时间想看电影都会想着来阿婆主这里～要一直贡献好电影哦~\(≧▽≦)/~
67,痴汉型Kkec,小说也不错(°∀°)ﾉ
66,你想不想堆个雪人,无比美妙的痛苦
65,tangerine旭,星尘吧...
64,一向,up主，你还记得有部电影叫星运还是星什么，反正也挺出名的我忘了叫啥ora
63,kathyinoct,来看，还有期待不要延误，顺利到家！
62,SuperSqueen,听说好看，有空看看
61,坑货OldKing,boom clap
(〜￣△￣)〜
60,Jhestnut,为了听洗茶和黄老板
59,youSkyFullOfStars,精分现场Σ(ﾟдﾟ;)
58,Maylibra,精分现场╮(￣▽￣&quot;)╭
57,大E先生,算前了吧
56,大木一点都不胖,up传的电影都好喜欢！超级感谢up(･∀･)
55,无玄子,回复 @1036255227 :(￣ε(#￣) Σヽ(`Д´)ﾉ
54,无玄子,回复 @人机王者 :...
53,人机王者,（￣へ￣）你可以继续我行我素
52,小花湖,捉住一只月月_(:3」∠)_
51,无玄子,40，虽然不喜欢这数字
50,两只老虎两只老虎,前40！！！哈哈哈哈哈哈
49,lulubirdbird,up主你的口味和我好像啊！
48,一顿吃三斤米,(ﾟДﾟ≡ﾟдﾟ)!? 精分现场
47,小粪球菌,这是精分现场么(ﾟДﾟ≡ﾟдﾟ)!?
46,小衫微微,(°∀°)ﾉ你们不是两个人
45,莉莉1234,我听过主题曲
44,青铜鸟,终于有了！配乐超赞的！
43,绵羊MY,然而现在5000+播放还是1000多弹幕
42,希西卡酱,(# ﾟДﾟ)看来楼下是一位有故事的人啊...
41,火车过站,回复 @我也是身经百战了:sb，发错
40,火车过站,回复 @我也是身经百战了:呵呵你个sda
39,火车过站,回复 @我也是身经百战了:你sb么，不会百度吗，给你就得了，搬来就很好了，还bb
38,火车过站,回复 @我也是身经百战了:就是就是，怎么想都是up的错，都多久了才搬
