44,JarvisTheImp,latter21抱紧我
43,阿某某桑,祝福五楼和十楼
42,听打雷就高潮,很不错的电影
41,我是一只帅熊,祝福5楼和10楼(=・ω・=)
40,亚北桑,我就觉得人类迟早会把自己作死的。。。。
39,好楽しみだな,2013年：演员数字化工程起步，主人公作为第二批参与扫描(Scan)者与麦拉蒙(Miramount)【很明显是Paramount(派拉蒙影业)与Miracle(奇迹)或Mirage(幻想）的合成词】公司签订形象出售合同。儿子亚伦的耳疾开始恶化。

介于2013与2033年间：女儿萨拉独立，离开主人公，随后疑似加入了反麦拉蒙致幻剂计划的反叛军行列（后来在酒店下水道与主人公擦肩而过）。

2033年，Abrahama被划定为Animated Zone(动画区)并与外界隔离，旨在进行大区域的致幻药剂测试，吸入嗅盐状的物质可初步搭桥（此时的针剂型致幻剂(The Ampoule)尚处在原型(Prototype)阶段，只有摄入了隔离区内的处理水源或其它食物才能进行深度的心灵穿梭（主人公随后在酒店喝了水龙头流出的水）。麦拉蒙宣布将进一步扩大致幻剂的使用范围和强度，让物质世界与心灵世界实现内外逆转。对此持反对意见的首批实验者起义攻击酒店。

房间内梦境：主人公在酒吧内演唱，杰夫带人进来将其抓走。

里层梦境：主人公被杰夫带上直升机，直升机在半空中与亚伦的风筝相撞坠落。

外层梦境：主人公在下水道中醒来，杰夫告知她将因『出格言行』（煽动暴乱；违反合约）被处决。

现实：数月后，主人公在医院病床上醒来，医生说她的精神系统已遭受严重的致幻剂污染，以致于完全无法分辨自己的人生究竟是现实还是幻觉，必须先进行冷冻，待医疗技术发展成熟后再行治疗。在冰冻过程中主人公看见了亚伦的幻影。

2053年（？）：致幻剂使用范围已扩大至全球，因大部分人类的新陈代谢在迷幻状态下大幅减缓，地球平均气温降低，部分植被灭绝，冰川重新出现并由两极向低纬度地区逼近。主人公被解冻，再次遭遇Dylan Truliner，得知在不断使用心灵投影的过程中大部分人类的自我(Ego)已经消亡，一番交谈后决意返回物质世界寻找儿子亚伦，但巴克医生说亚伦已在半年前进入心灵世界(Crossed-over)。绝望的主人公再次服下致幻剂。
38,彩羽鸡,没……看懂（￣▽￣）
36,局长是我,卡卡(〜￣△￣)〜
35,瘋狂的蘑菇丶,特么的什么鬼，我居然坚持了一个半小时，实在撑不住了，尼玛
34,花涧小鸟,太烧脑了 好难明白啊
33,aiyouwoqule,看不了
32,腐竹哥哥,看了16分钟实在是看不下去了，太慢热。最近的高分电影都这么慢节奏，不适应现在的大环境啊。
30,蜃楼楼主,就是讲的梦境与现实
29,虫虫斗,什么年头了，还卖五毛钱小零食，有几个云盘和链接让你得瑟得
28,左右倒手,到底好看不

26,情逆冷净,祝福五楼十楼
25,游骑兵牛肉,呆五零？？
24,何必自导自演ミ,说实话我是真没看懂
23,hw580,回复 @疏影浮月:阁下打字手法跟我何其像……握爪……(๑•ัω•็๑)
22,朝長美櫻,看到真愛 祝君幸福(&gt;﹏&lt;)
21,疏影浮月,卧槽...手滑点错赞了想取消结果点了两次...
20,我就说好看,不好看
19,十三世界,没有理解。。。
18,如花似玉为谁留,好看吗？？
17,四月底的友人A,表白的我看好你们呦
16,コン,福利97.30，表打我←_←
15,Forgotten1105,前面表白的走好。。。
14,rsy62835223,怎么下载电影

13,杯具的酱油,祝福5楼和10楼╮(￣▽￣)╭******_(:3」∠)_
12,零の十字架,你们城里人真会玩
11,布鲁斯奥巴马,捡肥皂吗(〜￣△￣)〜
10,李GeLang,劳资是男的ヽ(`Д´)ﾉ
9,mazzy,十楼,你是否愿意这个男子成为你的丈夫与他缔结婚约?无论疾病还是健康,或任何其他理由,都爱他,照顾他,尊重他,接纳他,永远对他忠贞不渝直至生命尽头? 

8,爱桦,卧槽，神作
7,SeaYu,为啥我看不了。。。
6,吧唧吧唧唧鸡,呵呵，哈哈哈哈哈
5,布鲁斯奥巴马,跟10楼表白，嫁给我吧
4,love可雅,不错的片子，真实与虚幻的世界，我们眼中看到的到底是真实还是虚幻的已经分不清楚ヽ(`Д´)ﾉ
3,阿姨爱我,***
2,shushikai,***第二。。。哈哈
1,伤影灬,抢个第1玩玩
